user_id,completed_at,order_channel_category,price,quantity,category,launch_date
1392297,2016-05-01 17:50:25,paid,55.0,1,Knit Dresses,2016-04-21 00:00:00
1674333,2017-01-04 10:54:37,paid,20.0,1,Knit Tops,2016-03-15 00:00:00
2144800,2017-11-10 11:24:56,email,100.0,1,Sweaters,2016-10-03 00:00:00
1733189,2017-04-13 15:14:23,direct,48.0,1,Knit Tops,2017-03-07 00:00:00
1031650,2017-06-19 05:03:04,direct,35.0,1,Knit Tops,2017-04-06 00:00:00
1853647,2017-03-26 02:33:52,direct,80.0,1,Bags,2016-05-10 00:00:00
2492999,2017-11-27 17:18:49,direct,80.0,1,Outerwear,2017-10-19 00:00:00
942515,2016-10-09 20:15:44,direct,100.0,1,Sweaters,2016-10-03 00:00:00
1524820,2017-08-24 11:09:55,direct,55.0,1,Bottoms,2017-01-17 00:00:00
2040063,2017-12-13 15:29:23,direct,100.0,1,Sweaters,2016-10-03 00:00:00
2531998,2017-12-01 17:01:32,paid,40.0,1,Knit Tops,2017-01-30 00:00:00
2302901,2017-09-27 06:16:27,paid,16.0,1,Knit Tops,2016-03-15 00:00:00
1393468,2016-05-03 09:32:34,paid,120.0,1,Footwear,2016-05-03 00:00:00
2484982,2017-11-20 12:17:36,paid,150.0,1,Outerwear,2017-10-31 00:00:00
2146531,2017-09-12 20:03:59,email,55.0,1,Bottoms,2017-03-13 00:00:00
1936115,2017-06-25 10:20:30,organic search,25.0,1,Knit Tops,2016-07-26 00:00:00
1348410,2017-09-19 17:02:57,direct,55.0,1,Bottoms,2017-03-13 00:00:00
1483528,2017-04-25 15:56:06,direct,22.0,1,Knit Tops,2016-03-15 00:00:00
2176393,2017-08-20 21:17:35,organic search,68.0,1,Bottoms,2017-02-14 00:00:00
1766122,2017-02-13 12:18:08,direct,88.0,1,Bottoms,2016-09-08 00:00:00
1446630,2017-04-10 08:07:12,direct,48.0,1,Knit Tops,2017-03-07 00:00:00
2241731,2017-11-06 19:32:01,organic search,20.0,1,Knit Tops,2017-01-18 00:00:00
2306771,2017-10-12 21:31:59,other,165.0,1,Bags,2017-08-23 00:00:00
1096080,2017-05-07 08:36:09,organic search,104.0,1,Woven Dresses,2016-08-16 00:00:00
1200009,2017-08-17 12:27:51,direct,65.0,1,Woven Tops,2017-04-17 00:00:00
1444963,2017-03-09 08:22:41,direct,88.0,1,Woven Tops,2016-02-25 00:00:00
1411834,2017-12-26 07:21:53,paid,70.0,1,Sweaters,2016-10-03 00:00:00
1523395,2017-12-14 14:34:45,paid,98.0,1,Sweaters,2017-11-10 00:00:00
1900210,2017-07-29 06:08:47,paid,145.0,1,Footwear,2017-04-10 00:00:00
1716923,2017-01-22 19:40:40,direct,65.0,1,Woven Tops,2016-08-16 00:00:00
1283531,2017-05-18 11:54:19,organic search,48.0,1,Woven Tops,2016-08-16 00:00:00
1373129,2017-12-04 14:13:44,direct,145.0,1,Footwear,2017-04-10 00:00:00
1280640,2017-02-27 14:32:59,direct,28.0,1,Knit Tops,2016-07-26 00:00:00
1577510,2016-11-17 15:01:16,direct,20.0,1,Knit Tops,2016-03-15 00:00:00
2317670,2017-11-24 15:35:22,direct,20.0,1,Knit Tops,2016-03-15 00:00:00
1499575,2016-12-06 20:12:34,direct,68.0,1,Shirting,2016-06-07 00:00:00
2493795,2017-12-15 17:20:41,email,125.0,1,Sweaters,2017-11-10 00:00:00
1691662,2017-03-05 19:12:31,direct,185.0,1,Footwear,2016-10-31 00:00:00
1504236,2016-09-27 09:16:26,direct,110.0,1,Outerwear,2016-09-27 00:00:00
1364281,2016-12-26 22:06:39,organic search,14.0,1,Knit Tops,2016-03-22 00:00:00
1385745,2016-05-22 13:47:27,other,120.0,1,Footwear,2016-05-03 00:00:00
1360185,2016-09-20 07:54:05,email,235.0,1,Footwear,2016-09-12 00:00:00
1782187,2017-03-30 07:32:22,direct,40.0,1,Knit Tops,2017-01-30 00:00:00
2406632,2017-12-13 14:45:45,direct,42.0,1,Woven Dresses,2016-05-17 00:00:00
6161,2017-03-27 10:40:46,organic search,100.0,1,Sweaters,2016-10-03 00:00:00
1962763,2017-05-12 08:40:21,paid,145.0,1,Footwear,2016-04-13 00:00:00
2127238,2017-08-01 07:14:14,paid,16.0,1,Knit Tops,2016-03-15 00:00:00
1282776,2017-09-10 06:35:55,direct,100.0,1,Sweaters,2016-10-10 00:00:00
2559545,2017-12-19 15:45:59,direct,125.0,1,Footwear,2017-04-13 00:00:00
975482,2017-06-10 17:43:21,organic search,100.0,1,Sweaters,2016-10-03 00:00:00
1331751,2016-08-24 09:59:59,direct,65.0,1,Bottoms,2016-08-11 00:00:00
2609247,2017-12-16 22:10:46,direct,145.0,1,Footwear,2017-04-10 00:00:00
306176,2016-08-10 12:23:57,direct,45.0,1,Bottoms,2016-05-19 00:00:00
1398338,2016-05-10 13:10:34,organic search,22.0,1,Knit Tops,2016-03-15 00:00:00
1551710,2016-10-24 18:57:51,direct,175.0,1,Footwear,2016-10-13 00:00:00
1187670,2017-06-17 19:53:08,organic search,78.0,1,Woven Dresses,2017-05-16 00:00:00
1522346,2017-06-28 05:58:07,direct,16.0,1,Knit Tops,2016-03-15 00:00:00
1366803,2017-02-15 11:37:20,email,130.0,1,Sweaters,2016-10-10 00:00:00
1435999,2017-12-06 19:08:01,direct,68.0,1,Denim,2017-09-07 00:00:00
1455542,2016-08-11 15:51:26,direct,88.0,1,Woven Tops,2016-08-11 00:00:00
1365618,2016-05-04 09:07:40,email,98.0,1,Footwear,2016-05-03 00:00:00
1902697,2017-05-07 10:50:41,direct,35.0,1,Knit Tops,2016-07-26 00:00:00
1861627,2017-12-12 14:09:12,direct,98.0,1,Woven Tops,2017-11-16 00:00:00
1505575,2016-12-21 18:33:53,paid,100.0,1,Sweaters,2016-10-03 00:00:00
1956028,2017-06-10 06:57:59,paid,88.0,1,Bottoms,2016-09-08 00:00:00
2545263,2017-12-03 21:18:49,other,16.0,1,Knit Tops,2016-03-15 00:00:00
998514,2017-06-04 23:08:25,other,65.0,1,Sweaters,2016-04-21 00:00:00
954708,2017-09-11 18:39:39,direct,55.0,1,Bottoms,2017-03-13 00:00:00
1630199,2017-03-06 08:42:38,direct,78.0,1,Bottoms,2017-01-09 00:00:00
1541035,2017-07-12 19:07:07,organic search,145.0,1,Footwear,2017-04-10 00:00:00
942515,2017-12-01 20:10:18,direct,100.0,1,Sweaters,2016-10-03 00:00:00
1746017,2017-07-09 22:55:38,direct,28.0,1,Knit Dresses,2016-06-14 00:00:00
2193393,2017-10-09 20:34:15,direct,88.0,1,Bottoms,2016-09-08 00:00:00
632409,2017-12-20 12:48:06,direct,68.0,1,Denim,2017-09-07 00:00:00
1585852,2016-12-16 12:35:39,direct,115.0,1,Sweaters,2016-10-10 00:00:00
1313341,2016-12-13 23:22:04,other,55.0,1,Woven Tops,2016-12-05 00:00:00
1922422,2017-04-23 16:47:12,organic search,88.0,1,Woven Tops,2016-08-16 00:00:00
1676208,2017-01-22 22:31:26,other,126.0,1,Sweaters,2016-10-10 00:00:00
1275730,2017-08-06 14:33:27,direct,145.0,1,Footwear,2017-04-10 00:00:00
2389029,2017-11-27 21:24:18,direct,150.0,1,Sweaters,2017-10-23 00:00:00
2181309,2017-08-20 08:35:39,other,88.0,1,Outerwear,2016-09-15 00:00:00
2002274,2017-12-25 21:21:20,direct,47.0,1,Woven Dresses,2017-07-31 00:00:00
1667348,2017-08-23 15:33:55,paid,68.0,1,Bottoms,2017-02-14 00:00:00
1985651,2017-09-01 06:33:20,paid,16.0,1,Knit Tops,2016-03-15 00:00:00
1022091,2017-07-25 22:48:18,paid,60.0,1,Woven Dresses,2016-05-17 00:00:00
1841864,2017-03-21 12:12:21,paid,68.0,1,Bags,2017-03-06 00:00:00
1548818,2017-05-17 08:21:34,email,145.0,1,Footwear,2017-04-10 00:00:00
1501475,2017-09-07 07:23:24,organic search,68.0,1,Denim,2017-09-07 00:00:00
1494721,2016-10-21 07:47:12,other,58.0,1,Bottoms,2016-05-17 00:00:00
2337212,2017-10-07 06:35:25,organic search,18.0,1,Knit Tops,2017-03-23 00:00:00
2449183,2017-11-13 10:32:48,organic search,155.0,1,Footwear,2017-10-16 00:00:00
1930398,2017-05-18 10:27:52,direct,58.0,1,Shirting,2017-02-07 00:00:00
1359889,2016-12-29 20:27:36,organic search,65.0,1,Bottoms,2016-01-13 00:00:00
1539089,2016-10-17 20:41:29,direct,115.0,1,Sweaters,2016-10-10 00:00:00
2212483,2017-09-23 14:08:21,email,30.0,1,Knit Tops,2017-09-12 00:00:00
1466180,2017-11-16 19:28:55,email,21.0,1,Knit Tops,2017-06-13 00:00:00
1441175,2017-12-25 22:39:17,email,39.0,1,Sweaters,2017-10-24 00:00:00
1767277,2017-12-11 07:54:39,email,100.0,1,Sweaters,2016-10-03 00:00:00
1484869,2017-12-15 08:52:49,email,98.0,1,Sweaters,2017-11-10 00:00:00
2062878,2017-07-04 10:52:29,direct,88.0,1,Woven Dresses,2017-05-09 00:00:00
1917318,2017-04-21 11:48:37,organic search,22.0,1,Knit Tops,2017-01-18 00:00:00
2358009,2017-10-13 11:51:23,direct,88.0,1,Woven Tops,2016-11-29 00:00:00
2387398,2017-11-08 09:08:23,email,68.0,1,Bottoms,2017-02-14 00:00:00
808234,2017-11-13 06:32:23,paid,88.0,1,Outerwear,2016-09-15 00:00:00
1864134,2017-04-02 12:20:47,paid,25.0,1,Knit Tops,2016-01-26 00:00:00
2221548,2017-09-03 13:19:21,paid,20.0,1,Knit Tops,2016-03-15 00:00:00
1542887,2016-10-19 19:02:10,paid,68.0,1,Shirting,2016-02-25 00:00:00
1462133,2017-04-26 12:11:38,email,70.0,1,Woven Tops,2017-04-17 00:00:00
1016715,2017-03-01 13:37:32,direct,20.0,1,Knit Tops,2016-03-15 00:00:00
1389582,2017-11-27 14:35:19,direct,130.0,1,Sweaters,2017-11-21 00:00:00
2559545,2017-12-11 09:23:26,email,68.0,1,Woven Tops,2016-08-16 00:00:00
1359561,2016-12-21 06:36:03,email,60.0,1,SLGs,2016-11-10 00:00:00
832226,2017-05-19 19:42:44,direct,88.0,1,Woven Tops,2016-08-16 00:00:00
2473543,2017-11-24 17:23:10,organic search,42.0,1,Knit Dresses,2017-01-30 00:00:00
2392884,2017-12-18 07:03:43,email,125.0,1,Sweaters,2017-11-10 00:00:00
2235051,2017-11-25 14:05:41,direct,58.0,1,Shirting,2016-06-07 00:00:00
1553051,2016-10-25 12:37:10,organic search,115.0,1,Bottoms,2016-03-08 00:00:00
2286646,2017-11-17 11:24:54,direct,16.0,1,Knit Tops,2016-03-15 00:00:00
1339955,2016-10-08 07:51:16,direct,30.0,1,Knit Tops,2016-09-22 00:00:00
2173554,2017-11-04 13:59:32,other,48.0,1,Knit Tops,2017-03-07 00:00:00
2065174,2017-11-22 12:47:34,direct,68.0,1,Denim,2017-09-07 00:00:00
2658920,2017-12-28 14:42:38,organic search,30.0,1,Knit Tops,2016-09-22 00:00:00
1679465,2017-12-26 12:50:48,email,45.0,1,Woven Dresses,2017-05-09 00:00:00
1561616,2016-12-15 16:37:05,organic search,16.0,1,Knit Tops,2016-03-15 00:00:00
1595886,2016-12-18 10:29:36,email,35.0,1,Seasonal Accessories,2016-11-22 00:00:00
1525988,2017-03-02 09:15:28,paid,138.0,1,Outerwear,2017-02-27 00:00:00
2446175,2017-11-11 22:34:12,paid,15.0,1,Knit Tops,2017-07-17 00:00:00
2464462,2017-11-17 21:55:28,paid,68.0,1,Denim,2017-09-07 00:00:00
2540826,2017-12-03 06:38:08,paid,68.0,1,Bags,2016-08-02 00:00:00
1602936,2017-05-04 19:57:59,other,120.0,1,Footwear,2017-04-13 00:00:00
1520338,2017-01-24 21:37:50,direct,100.0,1,Sweaters,2016-10-03 00:00:00
